Drift Differencing,,,,,,,,,,,Length Difference,,,,,,
descA,odoA,eventA,Drift,1st Diff,eventB,odoB,descB,,,,Odo A,Event A,Len A,|ΔLen|,Len B,Event B,Odo B
bend right,"5,625.34",bend,-56.27,0.78,bend,"5,681.61",bend right, ,, ,"5,625.34",bend,30.75,0.78,29.97,bend,"5,681.61"
,"5,639.82",weld,-56.72,-0.45,weld,"5,696.54",, ,, ,"5,639.82",weld,45.23,0.33,44.90,weld,"5,696.54"
,,,,,weld,"5,735.35",, ,, ,,,,,38.81,weld,"5,735.35"
,,,,,casing,"5,748.70","casing begin - sta. 2261+12, fs rd 1922 - 57.53 ft.", ,,,,,,,13.35,casing,"5,748.70"
"agm # 140, sta. 2261+27, 32' e of c/l co rd 334","5,670.97",agm,-81.24,-24.52,agm,"5,752.21","agm #16, sta. 2265+14, u/s co rd 334, 4' ds casing vent", ,, ,"5,670.97",agm,31.15,14.29,16.86,agm,"5,752.21"
,"5,678.40",weld,,,,,, ,, ,"5,678.40",weld,38.58,,,,
casing begin - sta. 2261+12 - 57.81 ft.,"5,691.37",casing,,,,,, ,, ,"5,691.37",casing,12.97,-0.38,13.35,casing,"5,748.70"
,"5,700.47",weld,-56.92,24.32,weld,"5,757.39",, ,, ,"5,700.47",weld,22.07,0.03,22.04,weld,"5,757.39"
,"5,723.57",weld,-56.85,0.07,weld,"5,780.42",, ,, ,"5,723.57",weld,23.10,0.07,23.03,weld,"5,780.42"
casing end - sta. 2260+54,"5,749.22",casing,-57.01,-0.16,casing,"5,806.23","casing end - sta. 2260+54, fs rd 1922", ,, ,"5,749.22",casing,57.85,0.32,57.53,casing,"5,806.23"
,"5,748.23",weld,-56.83,0.18,weld,"5,805.06",, ,, ,"5,748.23",weld,24.66,0.02,24.64,weld,"5,805.06"
,"5,774.62",weld,-56.78,0.05,weld,"5,831.40",, ,, ,"5,774.62",weld,26.39,0.05,26.34,weld,"5,831.40"
bend left,"5,803.41",bend,-59.17,-2.39,bend,"5,862.58",bend left, ,, ,"5,803.41",bend,28.79,-2.39,31.18,bend,"5,862.58"
,"5,815.94",weld,-56.74,2.43,weld,"5,872.68",, ,, ,"5,815.94",weld,41.32,0.04,41.28,weld,"5,872.68"
,"5,861.09",weld,-56.78,-0.04,weld,"5,917.87",, ,, ,"5,861.09",weld,45.15,-0.04,45.19,weld,"5,917.87"
,"5,906.36",weld,-56.77,0.01,weld,"5,963.13",, ,, ,"5,906.36",weld,45.27,0.01,45.26,weld,"5,963.13"
,"5,951.66",weld,-56.72,0.05,weld,"6,008.38",, ,, ,"5,951.66",weld,45.30,0.05,45.25,weld,"6,008.38"
,"5,996.96",weld,-56.57,0.15,weld,"6,053.53",, ,, ,"5,996.96",weld,45.30,0.15,45.15,weld,"6,053.53"
,"6,024.95",weld,-56.51,0.06,weld,"6,081.46",, ,, ,"6,024.95",weld,27.99,0.06,27.93,weld,"6,081.46"
,"6,070.26",weld,-56.32,0.19,weld,"6,126.58",, ,, ,"6,070.26",weld,45.31,0.19,45.12,weld,"6,126.58"
,"6,115.44",weld,-56.14,0.18,weld,"6,171.58",, ,, ,"6,115.44",weld,45.18,0.18,45.00,weld,"6,171.58"
,"6,160.74",weld,-55.96,0.18,weld,"6,216.70",, ,, ,"6,160.74",weld,45.30,0.18,45.12,weld,"6,216.70"
,"6,205.90",weld,-55.87,0.09,weld,"6,261.77",, ,, ,"6,205.90",weld,45.16,0.09,45.07,weld,"6,261.77"
,"6,251.13",weld,-55.75,0.12,weld,"6,306.88",, ,, ,"6,251.13",weld,45.23,0.12,45.11,weld,"6,306.88"
,"6,296.29",weld,-55.72,0.03,weld,"6,352.01",, ,, ,"6,296.29",weld,45.16,0.03,45.13,weld,"6,352.01"
,"6,341.55",weld,-55.58,0.14,weld,"6,397.13",, ,, ,"6,341.55",weld,45.26,0.14,45.12,weld,"6,397.13"
,"6,386.81",weld,-55.44,0.14,weld,"6,442.25",, ,, ,"6,386.81",weld,45.26,0.14,45.12,weld,"6,442.25"
,"6,432.09",weld,-55.32,0.12,weld,"6,487.41",, ,, ,"6,432.09",weld,45.28,0.12,45.16,weld,"6,487.41"
,"6,465.14",weld,-55.25,0.07,weld,"6,520.39",, ,, ,"6,465.14",weld,33.05,0.07,32.98,weld,"6,520.39"
,"6,508.52",weld,-55.02,0.23,weld,"6,563.54",, ,, ,"6,508.52",weld,43.38,0.23,43.15,weld,"6,563.54"
,"6,553.83",weld,-54.78,0.24,weld,"6,608.61",, ,, ,"6,553.83",weld,45.31,0.24,45.07,weld,"6,608.61"
,"6,579.72",weld,-54.72,0.06,weld,"6,634.44",, ,, ,"6,579.72",weld,25.89,0.06,25.83,weld,"6,634.44"
,"6,622.65",weld,-54.61,0.11,weld,"6,677.26",, ,, ,"6,622.65",weld,42.93,0.11,42.82,weld,"6,677.26"
,"6,630.85",weld,-54.58,0.03,weld,"6,685.43",, ,, ,"6,630.85",weld,8.20,0.03,8.17,weld,"6,685.43"
,"6,638.85",weld,-54.57,0.01,weld,"6,693.42",, ,, ,"6,638.85",weld,8.00,0.01,7.99,weld,"6,693.42"
bend left,"6,669.32",bend,-54.84,-0.27,bend,"6,724.16",bend left, ,, ,"6,669.32",bend,30.47,-0.27,30.74,bend,"6,724.16"
,"6,678.56",weld,-54.40,0.44,weld,"6,732.96",, ,, ,"6,678.56",weld,39.71,0.17,39.54,weld,"6,732.96"
,,,,,misc,"6,768.82",tool stopped,,,,,,,,,misc,"6,768.82"
bend left,"6,686.68",bend,,,,,, ,, ,"6,686.68",bend,8.12,,,,
,"6,719.75",weld,-53.98,0.42,weld,"6,773.73",, ,, ,"6,719.75",weld,41.19,0.42,40.77,weld,"6,773.73"
wt change,"6,719.77",pipe,,,,,, ,, ,"6,719.77",pipe,0.02,,,,
,"6,721.76",weld,-52.39,1.59,weld,"6,774.15",, ,, ,"6,721.76",weld,2.01,1.59,0.42,weld,"6,774.15"
,"6,758.22",weld,-18.29,34.10,weld,"6,776.51",, ,, ,"6,758.22",weld,36.46,34.10,2.36,weld,"6,776.51"
speed excursion,"6,771.28",misc,-5.92,,misc,"6,777.20",tool started, ,, ,"6,771.28",misc,13.06,,0.69,misc,"6,777.20"
speed within tolerance,"6,790.64",misc,12.42,,misc,"6,778.22",speed excursion, ,, ,"6,790.64",misc,32.42,,1.71,misc,"6,778.22"
,,,,,weld,"6,809.11",, ,, ,,,,,32.60,weld,"6,809.11"
,"6,799.29",weld,-50.97,-32.68,weld,"6,850.26",, ,, ,"6,799.29",weld,41.07,-0.08,41.15,weld,"6,850.26"
,"6,840.45",weld,-50.92,0.05,weld,"6,891.37",, ,, ,"6,840.45",weld,41.16,0.05,41.11,weld,"6,891.37"
speed excursion,"6,842.73",misc,,,,,, ,, ,"6,842.73",misc,,,,,
,"6,843.47",weld,-50.89,0.03,weld,"6,894.36",, ,, ,"6,843.47",weld,3.02,0.03,2.99,weld,"6,894.36"
wt change,"6,843.49",pipe,,,,,, ,, ,"6,843.49",pipe,0.02,,,,
,"6,889.24",weld,-50.10,0.79,weld,"6,939.34",, ,, ,"6,889.24",weld,45.77,0.79,44.98,weld,"6,939.34"
,"6,935.15",weld,-49.52,0.58,weld,"6,984.67",, ,, ,"6,935.15",weld,45.91,0.58,45.33,weld,"6,984.67"
,"6,980.36",weld,-49.18,0.34,weld,"7,029.54",, ,, ,"6,980.36",weld,45.21,0.34,44.87,weld,"7,029.54"
,"7,025.61",weld,-48.95,0.23,weld,"7,074.56",, ,, ,"7,025.61",weld,45.25,0.23,45.02,weld,"7,074.56"
bend left,"7,055.80",bend,-50.94,-1.99,bend,"7,106.74",bend left, ,, ,"7,055.80",bend,30.19,-1.99,32.18,bend,"7,106.74"
,"7,068.84",weld,-48.66,2.28,weld,"7,117.50",, ,, ,"7,068.84",weld,43.23,0.29,42.94,weld,"7,117.50"
bend left,"7,080.18",bend,-47.66,1.00,bend,"7,127.84",bend left, ,, ,"7,080.18",bend,11.34,1.00,10.34,bend,"7,127.84"
,"7,114.03",weld,-48.57,-0.91,weld,"7,162.60",, ,, ,"7,114.03",weld,45.19,0.09,45.10,weld,"7,162.60"
,"7,159.27",weld,-48.44,0.13,weld,"7,207.71",, ,, ,"7,159.27",weld,45.24,0.13,45.11,weld,"7,207.71"
,"7,204.59",weld,-48.22,0.22,weld,"7,252.81",, ,, ,"7,204.59",weld,45.32,0.22,45.10,weld,"7,252.81"
bend right,"7,240.85",bend,-48.67,-0.45,bend,"7,289.52",bend right, ,, ,"7,240.85",bend,36.26,-0.45,36.71,bend,"7,289.52"
,"7,249.75",weld,-48.07,0.60,weld,"7,297.82",, ,, ,"7,249.75",weld,45.16,0.15,45.01,weld,"7,297.82"
bend right,"7,285.96",bend,-48.77,-0.70,bend,"7,334.73",bend right, ,, ,"7,285.96",bend,36.21,-0.70,36.91,bend,"7,334.73"
,"7,295.12",weld,-47.86,0.91,weld,"7,342.98",, ,, ,"7,295.12",weld,45.37,0.21,45.16,weld,"7,342.98"
,"7,340.33",weld,-47.83,0.03,weld,"7,388.16",, ,, ,"7,340.33",weld,45.21,0.03,45.18,weld,"7,388.16"
,"7,385.65",weld,-47.64,0.19,weld,"7,433.29",, ,, ,"7,385.65",weld,45.32,0.19,45.13,weld,"7,433.29"
,"7,430.90",weld,-47.47,0.17,weld,"7,478.37",, ,, ,"7,430.90",weld,45.25,0.17,45.08,weld,"7,478.37"
,"7,476.21",weld,-47.23,0.24,weld,"7,523.44",, ,, ,"7,476.21",weld,45.31,0.24,45.07,weld,"7,523.44"
speed within tolerance,"7,521.20",misc,,,,,, ,, ,"7,521.20",misc,44.99,,,,
,"7,521.49",weld,-47.16,0.07,weld,"7,568.65",, ,, ,"7,521.49",weld,45.28,0.07,45.21,weld,"7,568.65"
,"7,566.78",weld,-47.09,0.07,weld,"7,613.87",, ,, ,"7,566.78",weld,45.29,0.07,45.22,weld,"7,613.87"
,"7,611.99",weld,-47.00,0.09,weld,"7,658.99",, ,, ,"7,611.99",weld,45.21,0.09,45.12,weld,"7,658.99"
,"7,657.27",weld,-46.77,0.23,weld,"7,704.04",, ,, ,"7,657.27",weld,45.28,0.23,45.05,weld,"7,704.04"
,"7,702.51",weld,-46.75,0.02,weld,"7,749.26",, ,, ,"7,702.51",weld,45.24,0.02,45.22,weld,"7,749.26"
,"7,747.85",weld,-46.61,0.14,weld,"7,794.46",, ,, ,"7,747.85",weld,45.34,0.14,45.20,weld,"7,794.46"
,,,,,weld,"7,839.51",, ,, ,,,,,45.05,weld,"7,839.51"
bend right,"7,784.99",bend,-86.67,-40.06,bend,"7,871.66",bend right, ,, ,"7,784.99",bend,37.14,4.99,32.16,bend,"7,871.66"
,"7,793.10",weld,-91.26,-4.59,weld,"7,884.36",, ,, ,"7,793.10",weld,45.25,0.39,44.86,weld,"7,884.36"
,"7,838.25",weld,-91.22,0.05,weld,"7,929.47",, ,, ,"7,838.25",weld,45.15,0.05,45.11,weld,"7,929.47"
,"7,883.39",weld,-91.21,0.01,weld,"7,974.60",, ,, ,"7,883.39",weld,45.13,0.01,45.13,weld,"7,974.60"
,"7,928.42",weld,-91.26,-0.04,weld,"8,019.68",, ,, ,"7,928.42",weld,45.03,-0.04,45.08,weld,"8,019.68"
,"7,973.68",weld,-91.01,0.25,weld,"8,064.69",, ,, ,"7,973.68",weld,45.26,0.25,45.02,weld,"8,064.69"
bend right,"8,009.70",bend,,,,,, ,, ,"8,009.70",bend,36.01,,,,
,"8,018.78",weld,,,,,, ,, ,"8,018.78",weld,45.10,,,,
,"8,060.69",weld,-45.80,45.20,weld,"8,106.49",, ,, ,"8,060.69",weld,41.90,0.11,41.80,weld,"8,106.49"
casing begin - sta. 2207+65 - 71.92 ft.,"8,073.38",casing,-45.80,0.01,casing,"8,119.18","casing begin - sta. 2207+65, rt EE - 71.54 ft.", ,, ,"8,073.38",casing,12.69,0.01,12.69,casing,"8,119.18"
,"8,105.86",weld,-45.57,0.23,weld,"8,151.44",, ,, ,"8,105.86",weld,45.18,0.23,44.95,weld,"8,151.44"
"agm # 150, sta. 2206+94, 25' nw of c/l 42nd st","8,141.18",agm,-46.12,-0.54,agm,"8,187.29","agm #17, sta. 2206+94, d/s 42nd st s, pipeline marker", ,, ,"8,141.18",agm,35.31,-0.54,35.86,agm,"8,187.29"
casing end - sta. 2206+93,"8,142.21",casing,-45.46,0.66,casing,"8,187.67","casing end - sta. 2206+93, rt EE", ,, ,"8,142.21",casing,68.83,0.34,68.49,casing,"8,187.67"
,,,Mean,0.14,,,,,,,,Mean,38.34,0.65,38.02,,
,,,Median,0.10,,,,,,,,Median,45.15,0.10,45.02,,
,,,Std  Dev,8.85,,,,,,,,Std  Dev,13.58,3.86,13.93,,
